File_Path,HTML_Source,Alt_Text,Exists,Image_Type,Description
D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\og-image.jpg,kickstarter_final,og-image,FALSE,social_media,Open Graph image for social sharing
D:\Projects\ZenMirror_20250916\assets\images\branding\zenmirror-logo.png,kickstarter_final,ZenMirror,TRUE,logo,Main ZenMirror brand logo with zen aesthetic
D:\Projects\ZenMirror_20250916\assets\images\product\zenmirror-device.png,kickstarter_final,ZenMirror Device,TRUE,product,Main hero image of the ZenMirror device
D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\video-thumbnail.jpg,kickstarter_final,ZenMirror Demo Video,FALSE,video_thumbnail,Thumbnail for main demonstration video
D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\traditional-wearables.jpg,kickstarter_final,Traditional wearables,FALSE,comparison,Image showing cluttered traditional wearable devices
D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\zenmirror-setup.jpg,kickstarter_final,ZenMirror contactless setup,FALSE,comparison,Clean setup showing ZenMirror contactless monitoring
D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\icons\radar-waves.jpg,kickstarter_final,Radar Waves,FALSE,icon,Icon representing radar wave technology
D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\icons\heart-monitoring.jpg,kickstarter_final,Heart Monitoring,FALSE,icon,Icon for heart rate monitoring feature
D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\icons\privacy-shield.jpg,kickstarter_final,Privacy Shield,FALSE,icon,Icon representing privacy protection
D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\tech-diagram.jpg,kickstarter_final,ZenMirror Technology Diagram,FALSE,diagram,Technical diagram showing how ZenMirror works
D:\Projects\ZenMirror_20250916\assets\images\mentors\zen-master.png,kickstarter_final,Zen Master,TRUE,mentor,Portrait of Zen Master mentor character
D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\icons\zen-circle.jpg,kickstarter_final,Zen Circle,FALSE,icon,Zen Buddhist circle symbol
D:\Projects\ZenMirror_20250916\assets\images\mentors\yogi.png,kickstarter_final,Yogi,TRUE,mentor,Portrait of Yogi mentor character
D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\icons\lotus.jpg,kickstarter_final,Lotus,FALSE,icon,Lotus flower symbol for yoga
D:\Projects\ZenMirror_20250916\assets\images\mentors\chaplain.png,kickstarter_final,Chaplain,TRUE,mentor,Portrait of Chaplain mentor character
D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\icons\dove.jpg,kickstarter_final,Dove,FALSE,icon,Dove symbol for peace and spirituality
D:\Projects\ZenMirror_20250916\assets\images\mentors\spiritual-mentor.png,kickstarter_final,Spiritual Mentor,TRUE,mentor,Portrait of Spiritual Mentor character
D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\icons\tree-of-life.jpg,kickstarter_final,Tree of Life,FALSE,icon,Tree of life symbol for universal spirituality
D:\Projects\ZenMirror_20250916\assets\images\mentors\stoic-philosopher.png,kickstarter_final,Stoic Philosopher,TRUE,mentor,Portrait of Stoic Philosopher mentor character
D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\icons\column.jpg,kickstarter_final,Column,FALSE,icon,Classical column symbol for stoic philosophy
D:\Projects\ZenMirror_20250916\assets\images\mentors\vedanta-acharya.png,kickstarter_final,Vedanta Acharya,TRUE,mentor,Portrait of Vedanta Acharya mentor character
D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\icons\om-symbol.jpg,kickstarter_final,Om Symbol,FALSE,icon,Om symbol for Vedanta tradition
D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\icons\real-time.jpg,kickstarter_final,Real-time,FALSE,icon,Icon for real-time feedback feature
D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\icons\scoring.jpg,kickstarter_final,Scoring,FALSE,icon,Icon for mindfulness scoring system
D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\icons\achievements.jpg,kickstarter_final,Achievements,FALSE,icon,Icon for achievement system
D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\icons\multi-mode.jpg,kickstarter_final,Multi-mode,FALSE,icon,Icon for multiple operation modes
D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\icons\closed-loop.jpg,kickstarter_final,Closed Loop,FALSE,icon,Icon for closed-loop optimization
D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\icons\analytics.jpg,kickstarter_final,Analytics,FALSE,icon,Icon for scientific analytics
D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\icons\hrv-research.jpg,kickstarter_final,HRV Research,FALSE,icon,Icon for HRV research validation
D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\icons\rsa-research.jpg,kickstarter_final,RSA Research,FALSE,icon,Icon for RSA research validation
D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\icons\meditation-research.jpg,kickstarter_final,Meditation Research,FALSE,icon,Icon for meditation research validation
D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\hrv-rsa-chart.jpg,kickstarter_final,HRV and RSA Visualization,FALSE,chart,Chart showing HRV and RSA data visualization
D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\closed-loop-diagram.jpg,kickstarter_final,Closed Loop System,FALSE,diagram,Diagram showing closed-loop meditation system
D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\team\founder.jpg,kickstarter_final,Founder,FALSE,team,Portrait of company founder Dr. Sarah Chen
D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\team\cto.jpg,kickstarter_final,CTO,FALSE,team,Portrait of CTO Dr. Marcus Rodriguez
D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\team\advisor.jpg,kickstarter_final,Spiritual Advisor,FALSE,team,Portrait of spiritual advisor Lama Tenzin Norbu
D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\testimonials\sarah.jpg,kickstarter_final,Sarah M.,FALSE,testimonial,Portrait of testimonial giver Sarah M.
D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\testimonials\david.jpg,kickstarter_final,David L.,FALSE,testimonial,Portrait of testimonial giver David L.
D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\testimonials\maya.jpg,kickstarter_final,Maya P.,FALSE,testimonial,Portrait of testimonial giver Maya P.
D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\og-image.jpg,indiegogo_final,og-image,FALSE,social_media,Open Graph image for social sharing
D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\gallery\setup-view.jpg,indiegogo_final,Setup View,FALSE,gallery,Gallery image showing device setup
D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\gallery\app-interface.jpg,indiegogo_final,App Interface,FALSE,gallery,Gallery image showing app interface
D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\gallery\mentor-selection.jpg,indiegogo_final,Mentor Selection,FALSE,gallery,Gallery image showing mentor selection screen
D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\gallery\data-visualization.jpg,indiegogo_final,Data Visualization,FALSE,gallery,Gallery image showing data visualization
D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\story\traditional-problems.jpg,indiegogo_final,Traditional meditation tracking problems,FALSE,story,Image showing problems with traditional wearables
D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\story\zenmirror-solution.jpg,indiegogo_final,ZenMirror contactless solution,FALSE,story,Image showing ZenMirror contactless solution
D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\story\cultural-mentors.jpg,indiegogo_final,Cultural wisdom traditions,FALSE,story,Image representing six wisdom traditions
D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\icons\hrv-research.jpg,indiegogo_final,HRV Research,FALSE,icon,Icon for HRV research validation
D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\icons\meditation-research.jpg,indiegogo_final,Meditation Research,FALSE,icon,Icon for meditation research validation
D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\icons\rsa-research.jpg,indiegogo_final,RSA Research,FALSE,icon,Icon for RSA research validation
D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\videos\hero-demo-thumb.jpg,indiegogo_final,ZenMirror Hero Demo,FALSE,video_thumbnail,Hero demo video thumbnail
D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\videos\tech-demo-thumb.jpg,indiegogo_final,Technology Demo,FALSE,video_thumbnail,Technology demo video thumbnail
D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\videos\mentor-demo-thumb.jpg,indiegogo_final,Mentor Demo,FALSE,video_thumbnail,Mentor demo video thumbnail
D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\videos\setup-guide-thumb.jpg,indiegogo_final,Setup Guide,FALSE,video_thumbnail,Setup guide video thumbnail
D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\videos\user-stories-thumb.jpg,indiegogo_final,User Stories,FALSE,video_thumbnail,User stories video thumbnail
D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\videos\comparison-thumb.jpg,indiegogo_final,Comparison Demo,FALSE,video_thumbnail,Comparison demo video thumbnail
